nameID	relatedNameID	type	publishedInID	remarks
100052	627371	Spelling correction		
100053	627415	Orthographic variant		
100054	627427	Orthographic variant		
100069	537400	Orthographic variant		
100075	180640	Orthographic variant		
100119	616758	Orthographic variant		
100124	535053	Orthographic variant		
100202	587468	Orthographic variant		
100223	502818	Orthographic variant		
100273	536216	Orthographic variant		
100341	569611	Orthographic variant		
100391	479352	Orthographic variant		
100477	626971	Orthographic variant		
100543	535052	Orthographic variant		
100561	633618	Orthographic variant		
100616	622484	Orthographic variant		
100765	535216	Orthographic variant		
100766	635245	Orthographic variant		
100794	587600	Orthographic variant		
100819	307888	Orthographic variant		
100822	521826	Orthographic variant		
100823	521841	Orthographic variant		
100884	534768	Orthographic variant		
100862	540095	Orthographic variant		
100914	521831	Orthographic variant		
101004	565723	Orthographic variant		
101248	535665	Orthographic variant		
101271	546106	Orthographic variant		
101302	536171	Orthographic variant		
101373	535644	Orthographic variant		
101439	540126	Orthographic variant		
101593	535088	Orthographic variant		
101749	818218	Orthographic variant		
101768	532323	Orthographic variant		
101866	566887	Orthographic variant		
101961	272171	Orthographic variant		
101963	287568	Orthographic variant		
102024	534750	Orthographic variant		
102048	634204	Orthographic variant		
102074	631541	Orthographic variant		
102108	627241	Orthographic variant		
102182	587644	Orthographic variant		
102227	628598	Orthographic variant		
102272	631137	Orthographic variant		
102275	630741	Orthographic variant		
102296	630742	Orthographic variant		
102324	491551	Orthographic variant		
102346	635214	Orthographic variant		
102437	627233	Orthographic variant		
102466	534976	Orthographic variant		
102558	560052	Orthographic variant		
102613	535398	Orthographic variant		
102686	534704	Orthographic variant		
102695	535204	Orthographic variant		
102697	262175	Orthographic variant		
102719	544896	Orthographic variant		
103051	623244	Orthographic variant		
103054	534975	Orthographic variant		
103156	626024	Orthographic variant		
103327	263032	Orthographic variant		
103344	586953	Orthographic variant		
103484	584441	Orthographic variant		
103470	136056	Orthographic variant		
103514	545163	Orthographic variant		
103689	627108	Orthographic variant		
103602	521783	Orthographic variant		
103603	631134	Orthographic variant		
103630	535268	Orthographic variant		
103647	625848	Orthographic variant		
103725	535258	Orthographic variant		
103954	534897	Orthographic variant		
103986	534400	Orthographic variant		
104012	626972	Orthographic variant		
104013	626976	Orthographic variant		
104015	626973	Orthographic variant		
104306	506884	Orthographic variant		
104307	626128	Orthographic variant		
104086	534613	Orthographic variant		
104234	627305	Orthographic variant		
104247	627191	Orthographic variant		
104316	531485	Orthographic variant		
104329	265923	Orthographic variant		
104425	630350	Orthographic variant		
104461	547789	Orthographic variant		
104589	536429	Orthographic variant		
104600	534849	Orthographic variant		
104720	334074	Orthographic variant		
104721	334299	Orthographic variant		
104727	628379	Orthographic variant		
104738	632221	Orthographic variant		
104743	535388	Orthographic variant		
104856	535495	Orthographic variant		
104953	529200	Orthographic variant		
105005	587595	Orthographic variant		
105060	627060	Orthographic variant		
105102	626872	Orthographic variant		
105128	535020	Orthographic variant		
105214	438233	Orthographic variant		
105292	534664	Orthographic variant		
105324	627518	Orthographic variant		
105338	536251	Orthographic variant		
105451	530838	Orthographic variant		
105551	535229	Orthographic variant		
105570	535257	Orthographic variant		
105586	352528	Orthographic variant		
105687	634881	Orthographic variant		
105805	626873	Orthographic variant		
105931	535508	Orthographic variant		
105999	535630	Orthographic variant		
106037	634237	Orthographic variant		
106141	535094	Orthographic variant		
106149	263265	Orthographic variant		
106163	626874	Orthographic variant		
106521	374736	Orthographic variant		
106529	621874	Orthographic variant		
106443	534791	Orthographic variant		
106445	622009	Orthographic variant		
106634	533526	Orthographic variant		
106644	634636	Orthographic variant		
106720	586924	Orthographic variant		
106791	627348	Orthographic variant		
106816	522147	Orthographic variant		
106841	318956	Orthographic variant		
106935	509640	Orthographic variant		
106941	267115	Orthographic variant		
107006	355705	Orthographic variant		
107072	530840	Orthographic variant		
107080	535559	Orthographic variant		
107086	521584	Orthographic variant		
107163	535255	Orthographic variant		
107208	541805	Orthographic variant		
107507	626875	Orthographic variant		
107401	630300	Orthographic variant		
107405	539396	Orthographic variant		
107441	633587	Orthographic variant		
107541	272509	Orthographic variant		
107624	522148	Orthographic variant		
107657	278658	Orthographic variant		
107659	320313	Orthographic variant		
107662	536481	Orthographic variant		
107760	634619	Orthographic variant		
107957	627516	Orthographic variant		
107982	316058	Orthographic variant		
108043	630322	Orthographic variant		
108234	634912	Orthographic variant		
108298	588546	Orthographic variant		
108363	628475	Orthographic variant		
108367	276952	Orthographic variant		
108489	516813	Orthographic variant		
108529	522103	Orthographic variant		
108581	631590	Orthographic variant		
108584	588543	Orthographic variant		
108837	535072	Orthographic variant		
108856	535833	Orthographic variant		
108983	535144	Orthographic variant		
108990	316061	Orthographic variant		
109153	629774	Orthographic variant		
109184	528999	Orthographic variant		
109130	635100	Orthographic variant		
109305	119481	Orthographic variant		
109478	531793	Orthographic variant		
109479	531791	Orthographic variant		
109497	262336	Orthographic variant		
110173	119250	Orthographic variant		
110206	627574	Orthographic variant		
110233	320133	Orthographic variant		
110322	534175	Orthographic variant		
110430	346474	Orthographic variant		
110456	514869	Orthographic variant		
110549	505199	Orthographic variant		
110641	528908	Orthographic variant		
110650	535103	Orthographic variant		
110670	506078	Orthographic variant		
110707	814683	Orthographic variant		
110788	534169	Orthographic variant		
110911	528998	Orthographic variant		
110935	306891	Orthographic variant		
111000	530125	Orthographic variant		
111003	530126	Orthographic variant		
111016	530848	Orthographic variant		
111051	626876	Orthographic variant		
111150	513908	Orthographic variant		
111172	533527	Orthographic variant		
111184	626877	Orthographic variant		
111186	626878	Orthographic variant		
111187	626879	Orthographic variant		
111188	626880	Orthographic variant		
111189	626881	Orthographic variant		
111225	492488	Orthographic variant		
111246	631968	Orthographic variant		
111264	533820	Orthographic variant		
111305	587267	Orthographic variant		
111334	633941	Orthographic variant		
111431	627225	Orthographic variant		
111585	634973	Orthographic variant		
111616	633563	Orthographic variant		
111643	565198	Orthographic variant		
111685	274206	Orthographic variant		
111819	569203	Orthographic variant		
111826	492859	Orthographic variant		
111861	493075	Orthographic variant		
111911	329041	Orthographic variant		
111970	316377	Orthographic variant		
112025	632250	Orthographic variant		
112177	627177	Orthographic variant		
112405	568685	Orthographic variant		
112230	536270	Orthographic variant		
112261	627210	Orthographic variant		
112508	143073	Orthographic variant		
112731	584985	Orthographic variant		
112746	622389	Orthographic variant		
112762	316961	Orthographic variant		
112941	536208	Orthographic variant		
112947	627545	Orthographic variant		
113005	521850	Orthographic variant		
113006	521849	Orthographic variant		
113007	521836	Orthographic variant		
113163	534666	Orthographic variant		
113197	262373	Orthographic variant		
113200	521800	Orthographic variant		
113201	521803	Orthographic variant		
113274	331346	Orthographic variant		
113288	529645	Orthographic variant		
113329	535379	Orthographic variant		
113455	626882	Orthographic variant		
113465	535099	Orthographic variant		
113468	535834	Orthographic variant		
113521	627523	Orthographic variant		
113644	585305	Orthographic variant		
113792	534173	Orthographic variant		
113890	586909	Orthographic variant		
113905	628599	Orthographic variant		
113906	628600	Orthographic variant		
113910	628602	Orthographic variant		
113911	628603	Orthographic variant		
114043	535448	Orthographic variant		
114091	289817	Orthographic variant		
114105	539390	Orthographic variant		
114138	535256	Orthographic variant		
114260	529404	Orthographic variant		
114261	529406	Orthographic variant		
114273	535702	Orthographic variant		
114318	626641	Orthographic variant		
114483	613814	Orthographic variant		
114366	627364	Orthographic variant		
114536	535205	Orthographic variant		
114553	535203	Orthographic variant		
114560	534703	Orthographic variant		
114575	635918	Orthographic variant		
114594	628458	Orthographic variant		
114626	545699	Orthographic variant		
114628	493548	Orthographic variant		
114639	535457	Orthographic variant		
114651	543238	Orthographic variant		
114789	633499	Orthographic variant		
114839	546452	Orthographic variant		
114902	363105	Orthographic variant		
114911	539230	Orthographic variant		
114927	634005	Orthographic variant		
115045	492492	Orthographic variant		
115138	587505	Orthographic variant		
115164	627522	Orthographic variant		
115334	622148	Orthographic variant		
115355	534970	Orthographic variant		
115550	521808	Orthographic variant		
115571	535433	Orthographic variant		
115706	100274	Orthographic variant		
115814	628476	Orthographic variant		
115820	626883	Orthographic variant		
115902	631507	Orthographic variant		
115907	628296	Orthographic variant		
116137	517306	Orthographic variant		
116145	318837	Orthographic variant		
116153	522130	Orthographic variant		
116161	535293	Orthographic variant		
116436	546480	Orthographic variant		
116537	546366	Orthographic variant		
116538	581574	Orthographic variant		
116541	546365	Orthographic variant		
116590	227765	Orthographic variant		
116600	351940	Orthographic variant		
116626	622262	Orthographic variant		
