ID	scientificName	authorship	rank	genus	specificEpithet	infraspecificEpithet	publishedInID	publishedInPage	code	status	link
100737	Pythium debaryi	(J. Walz) Racib.	sp.	Pythium	debaryi		100737	32	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=100737
101097	Pythium dictyosporum	Racib.	sp.	Pythium	dictyosporum		101097	32	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=101097
101256	Branchiomyces sanguinis	Plehn	sp.	Branchiomyces	sanguinis		101256	129	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=101256
101449	Plasmopara melampyri	Bucholtz	sp.	Plasmopara	melampyri		101449	7	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=101449
101562	Eupythium sadebeckianum	(Wittm.) Nieuwl.	sp.	Eupythium	sadebeckianum		101562	384	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=101562
101772	Eupythium proliferum	Nieuwl.	sp.	Eupythium	proliferum		101772	384	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=101772
101776	Ellobiocystis caridarum	(Coutière) Coutière	sp.	Ellobiocystis	caridarum		101776	193	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=101776
101779	Ellobiocystis tenuis	Coutière	sp.	Ellobiocystis	tenuis		101779	202	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=101779
101780	Ellobiocystis villosus	Coutière	sp.	Ellobiocystis	villosus		101780	200	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=101780
101781	Ellobiocystis filicollis	Coutière	sp.	Ellobiocystis	filicollis		101781	201	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=101781
101783	Ellobiocystis tuberosus	Coutière	sp.	Ellobiocystis	tuberosus		101783	200	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=101783
101784	Ellobiocystis mysidarum	Coutière	sp.	Ellobiocystis	mysidarum		101784	203	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=101784
101785	Ellobiocystis catenatus	Coutière	sp.	Ellobiocystis	catenatus		101785	201	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=101785
101791	Labyrinthula zopfii	P.A. Dang.	sp.	Labyrinthula	zopfii		101791	59	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=101791
101841	Saprolegnia furcata	Maurizio	sp.	Saprolegnia	furcata		101841	48	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=101841
101842	Saprolegnia crustosa	Maurizio	sp.	Saprolegnia	crustosa		101842	52	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=101842
101843	Achlya radiosa	Maurizio	sp.	Achlya	radiosa		101843	57	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=101843
101844	Saprolegnia paradoxa	Maurizio	sp.	Saprolegnia	paradoxa		101844	46	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=101844
101845	Saprolegnia floccosa	Maurizio	sp.	Saprolegnia	floccosa		101845	50	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=101845
101939	Phytophthora viticola	W. Reichelt	sp.	Phytophthora	viticola		101939	441	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=101939
102141	Peronospora lamii var. glechomatis	Krieg.	var.	Peronospora	lamii	glechomatis	102141	no. 1880	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=102141
102159	Saprolegnia hypogyna var. coregoni	Maurizio	var.	Saprolegnia	hypogyna	coregoni	102159	55	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=102159
