ID	citation	title	year	source	doi	link
144824			1915	Bulletin Assoc. Natur, Nice 3: 9 [repr.]		
144899			1865	Microscopic fungi: 160		
144911			1923	Beitr. Kryptfl. Schweiz 5(no. 4): 172		
145123			1855	in Rabenhorst, Klotzschii Herb. Viv. Mycol., Edn Nov, Ser. Sec., Cent. 2: no. 175		
145608			1918	Beih. bot. Zbl., Abt. 1 35: 529		
145456			1918	Beih. bot. Zbl., Abt. 1 35: 529		
145522			1918	Beih. bot. Zbl., Abt. 1 35: 529		
146024			1861	Ann. Mag. nat. Hist., Ser. 3 7: 449		
146204			1883	Bot. Ztg. 41: 56		
146305			1896	Pringsheims Jb. Wissenschaftl. Botanik 30: 107		
146619			1843	Phycol. general.: 157		
146386			1893	Trans. Am. phil. Soc., New Series 17: 13 ('1892')		
146511			1860	Jb. wiss. Bot. 2: 206		
146533			1870	Bot. Ztg. 28: 545		
146722			1923	Beitr. Kryptfl. Schweiz 5(no. 4): 294		
146731			1917	Atti Reale Accad. Lincei, Rendic., Sér. 5 26(2): 298		
146824			1891	Brit. Fung., Phycom. Ustil. (London): 217		
146853			1911	in Saccardo & Traverso, Syll. fung. (Abellini) 20: 743		
146927			1906	Centbl. Bakt. ParasitKde, Abt. I 15: 335		
147113			1870	Jb. nassau. Ver. Naturk. 23-24: 69 ('1869-70')		
147387			1923	Beitr. Kryptfl. Schweiz 5(no. 4): 65		
147595			1917	Riv. Accad. di Padova 33: 158		
147811			1918	Beih. bot. Zbl., Abt. 1 35: 530		
148165			1890	New Jersey Agric. Coll. Exp. Sta. Bull. 76: 20		
148180			1926	Landwirtsch. Jb. Schweiz 40: 467		
148203			1918	Beih. bot. Zbl., Abt. 1 35: 530		
148358			1909	Bull. Soc. bot. Fr. 56: 23		
148632			1884	Flora, Regensburg 67: 517		
148652			1863	Fungi rhenani exsic., fasc. 1: no. 15		
149774			1918	Beih. bot. Zbl., Abt. 1 35: 528		
149886			1896	Bot. Gaz. 21: 329		
150102			1918	Beih. bot. Zbl., Abt. 1 35: 528		
150203			1893	Trans. Am. phil. Soc., New Series 17: 111 ('1892')		
150224			1883	Bot. Ztg. 41: 56		
150340			1893	Öst. bot. Z. 43(12): 420		
150553			1912	Krypt.-Fl. Brandenburg (Leipzig) 5: 524 ('1915')		
150605			1920	Mitt. naturf. Ges. Bern: 179 ('1919')		
151732			1855	Ber. Bekanntm. Verhandl. Königlich Preuss. Akad. Wissensch. Berlin 3: 330		
152204			1889	Trans. Crypt. Soc. Scot.: 42		
152262			1886	Annls Sci. Nat., Bot., sér. 7 4: 245		
142595			1845	in Berkeley, Gard. Chron., London: 640		
142630			1897	in Engler & Prantl, Nat. Pflanzenfam., Teil. I (Leipzig) 1(1): 84		
142805			1886	in Cohn, Krypt.-Fl. Schlesien (Breslau) 3.1(9–16): 196 ('1889')		
142816			1897	Bull. Torrey bot. Club 24: 83		
143180			1884	Sber. Phys.-Med. Soc. Erlangen 16: 42		
143207			1919	Bulletin de la Societe Neuchateloise des Sciences Naturelles 43: 5		
143418			1862	Gard. Chron., London: 308		
143435			1886	in Cohn, Krypt.-Fl. Schlesien (Breslau) 3.1(9–16): 195 ('1889')		
143683			1887	J. Mycol. 3(9): 104		
143723			1893	Bot. Tidsskr. 18: 108 ('1892-93')		
144269			1895	Proc. Roy. Soc. Victoria 7: 221		
144581			1884	Hedwigia 23: 173		
144793			1860	in Rabenhorst, Fungi europ. exsicc., Edn 2, ser. 2: no. 289		
152454			1913	Memoirs of the Dept. Agric. India, Bot. Ser. 5: 275		
152498			1918	Beih. bot. Zbl., Abt. 1 35: 524		
152519			1923	Beitr. Kryptfl. Schweiz 5(no. 4): 162		
152664			1918	Beih. bot. Zbl., Abt. 1 35: 524		
152822			1890	Hedwigia 29: 155		
152841			1923	in Gäumann, Beitr. Kryptfl. Schweiz 5(no. 4): 82		
152876			1911	C. r. hebd. Séanc. Acad. Sci., Paris 152: 206		
152891			1889	Revue mycol., Toulouse 11(no. 43): 143		
152939			1898	Icon. fung. (Abellini) 4(1): 23, tab. 28		
153026			1914	Ann. Bot., Lond. 28: 232		
153091			1918	Philipp. J. Sci., A 13(5): [1]		
153277			1914	Ann. Bot., Lond. 28: 233		
154248			1859	Verh. Phys.-Med. Ges. Würzburg: 13		
154284			1896	Bot. Gaz. 21: 326		
154299			1891	Anzeig. Akad. Wissensch., Krakau: 283		
154389			1881	Bot. Ztg. 39: 562		
154452			1926	Mycologia 18(4): 176		
154465			1896	Ann. Soc. Belge Microscop. 20: 121		
154657			1874	Verh. bot. Ver. Prov. Brandenb. 16: 116		
154691			1858	Jb. wiss. Bot. 1: 288		
154823			1869	Bull. Soc. Imp. nat. Moscou 42: 469		
155012			1886	Annls Sci. Nat., Bot., sér. 7 4: 313		
155074			1896	Bot. Gaz. 21: 326		
155091			1887	Ber. dt. bot. Ges. 5: 243		
155176			1883	Bot. Gaz. 8: 314		
155322			1916	Bull. int. Acad. Sci. Lett. Cracovie, Cl. sci. math. nat. Sér. B, sci. nat. 8-10: 243 ('1915')		
155348			1872	in Rabenhorst, Fungi europ. exsicc.: no. 1590		
155440			1918	Beih. bot. Zbl., Abt. 1 35: 524		
155441			1855	Ber. Bekanntm. Verhandl. Königlich Preuss. Akad. Wissensch. Berlin 3: 331		
155536			1919	Mitt. naturf. Ges. Bern: 64 ('1918')		
155797			1873	Fungi europ. exsicc.: no. 1664		
155645			1923	Beitr. Kryptfl. Schweiz 5(no. 4): 280		
155710			1919	Mitt. naturf. Ges. Bern: 63 ('1918')		
155764			1863	Annls Sci. Nat., Bot., sér. 4 20: 125		
156078			1919	Mitt. naturf. Ges. Bern: 64 ('1918')		
157029			1912	Annls mycol. 10(5): 437		
157134			1914	Bull. Soc. mycol. Fr. 30(1): 73		
157359			1908	Science, Washington 27: 207		
157515			1863	Annls Sci. Nat., Bot., sér. 4 20: 117		
157775			1911	in Tranzschel & Serebrianikow, Mycotheca rossica 3 & 4: no. 101		
157866			1907	Bull. Torrey bot. Club 24: 207		
157889			1902	Trav. Mus. Bot. Acad. Sci. St. Petersburg 1: 49		
157960			1863	Annls Sci. Nat., Bot., sér. 4 20: 124		
158019			1923	Beitr. Kryptfl. Schweiz 5(no. 4): 82		
158053			1892	Z. PflKrankh. 2: [1]		
158056			1907	Bull. Torrey bot. Club 34: 72		
158099			1891	Bull. Soc. bot. Fr. 36: CLXXI		
158220			1864	Fungi rhenani exsic.: no. 1503		
158111			1890	in Swingle, Trans. Kansas Acad. Sci. 11: 77		
158247			1914	Ann. Bot., Lond. 28: 648		
158248			1868	in Berkeley, J. Linn. Soc., Bot. 10(no. 46): 363 ('1869')		
158434			1886	in Cohn, Krypt.-Fl. Schlesien (Breslau) 3.1(9–16): 236 ('1889')		
158435			1908	Bull. Torrey bot. Club 35: 361		
158312			1863	Annls Sci. Nat., Bot., sér. 4 20: 111		
158337			1904	in Ideta, Lehrb. Pflanzenkr. (Tokyo): 122		
