ID	parentID	nameID	provisional	accordingTo	accordingToID	accordingToDate	referenceID	fossil	recent	lifezone	link	kingdom	phylum	class	order	family	genus	species
101256		101256	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=101256	Chromista	Oomycota	Peronosporea	Saprolegniales	Incertae sedis	Branchiomyces	sanguinis
101791		101791	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=101791	Chromista	Bigyra	Labyrinthulea	Labyrinthulida	Labyrinthulaceae	Labyrinthula	zopfii
101841		101841	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=101841	Chromista	Oomycota	Peronosporea	Saprolegniales	Saprolegniaceae	Saprolegnia	furcata
101842		101842	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=101842	Chromista	Oomycota	Peronosporea	Saprolegniales	Saprolegniaceae	Saprolegnia	crustosa
101843		101843	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=101843	Chromista	Oomycota	Peronosporea	Saprolegniales	Saprolegniaceae	Achlya	radiosa
102996		102996	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=102996	Chromista	Oomycota	Peronosporea	Saprolegniales	Saprolegniaceae	Achlya	bispora
103045		103045	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=103045	Chromista	Oomycota	Peronosporea	Leptomitales	Leptolegniellaceae	Aphanomycopsis	peridiniella
103715		103715	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=103715	Chromista	Oomycota	Peronosporea	Leptomitales	Leptomitaceae	Plerogone	helodes
104065		104065	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=104065	Chromista	Oomycota	Peronosporea	Peronosporales	Peronosporaceae	Bremia	betae
104608		104608	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=104608	Chromista	Oomycota	Peronosporea	Peronosporales	Peronosporaceae	Peronospora	sinensis
104699		104699	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=104699	Chromista	Oomycota	Peronosporea	Peronosporales	Pythiaceae	Pythium	chondricola
104701		104701	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=104701	Chromista	Oomycota	Peronosporea	Peronosporales	Pythiaceae	Pythium	lutarium
104703		104703	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=104703	Chromista	Oomycota	Peronosporea	Peronosporales	Pythiaceae	Pythium	pachycaule
105010		105010	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=105010	Chromista	Oomycota	Peronosporea	Saprolegniales	Saprolegniaceae	Verrucalvus	flavofaciens
105056		105056	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=105056	Chromista	Oomycota	Peronosporea	Leptomitales	Leptolegniellaceae	Aphanomycopsis	cryptica
105113		105113	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=105113	Chromista	Oomycota	Peronosporea	Peronosporales	Peronosporaceae	Bremia	moehringiae
105336		105336	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=105336	Chromista	Oomycota	Peronosporea	Peronosporales	Myzocytiopsidaceae	Gonimochaete	lignicola
105621		105621	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=105621	Chromista	Oomycota	Peronosporea	Peronosporales	Peronosporaceae	Peronospora	elsholtziae
105622		105622	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=105622	Chromista	Oomycota	Peronosporea	Peronosporales	Peronosporaceae	Peronospora	leonuri
105695		105695	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=105695	Chromista	Oomycota	Peronosporea	Peronosporales	Peronosporaceae	Phytophthora	clandestina
105696		105696	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=105696	Chromista	Oomycota	Peronosporea	Peronosporales	Peronosporaceae	Phytophthora	humicola
105700		105700	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=105700	Chromista	Oomycota	Peronosporea	Peronosporales	Peronosporaceae	Plasmopara	plantaginicola
105912		105912	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=105912	Chromista	Oomycota	Peronosporea	Albuginales	Albuginaceae	Albugo	aechmantherae
106228		106228	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=106228	Chromista	Oomycota	Peronosporea	Saprolegniales	Leptolegniaceae	Leptolegnia	chapmanii
106341		106341	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=106341	Chromista	Oomycota	Peronosporea	Peronosporales	Peronosporaceae	Peronosclerospora	globosa
106419		106419	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=106419	Chromista	Oomycota	Peronosporea	Peronosporales	Peronosporaceae	Pseudoperonospora	elsholtziae
107141		107141	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=107141	Chromista	Oomycota	Peronosporea	Peronosporales	Peronosporaceae	Phytophthora	pseudotsugae
107710		107710	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=107710	Chromista	Oomycota	Peronosporea	Albuginales	Albuginaceae	Albugo	pileae
107762		107762	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=107762	Chromista	Oomycota	Peronosporea	Peronosporales	Peronosporaceae	Bremia	leibnitziae
108372		108372	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=108372	Chromista	Oomycota	Peronosporea	Peronosporales	Peronosporaceae	Plasmopara	elsholtziae
109309		109309	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=109309	Chromista	Oomycota	Peronosporea	Saprolegniales	Saprolegniaceae	Protoachlya	oryzae
110589		110589	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=110589	Chromista	Oomycota	Peronosporea	Saprolegniales	Saprolegniaceae	Couchia	circumplexa
111092		111092	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=111092	Chromista	Cercozoa	Phytomyxea	Plasmodiophorida	Plasmodiophoridae	Woronina	leptolegniae
111511		111511	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=111511	Chromista	Oomycota	Peronosporea	Haptoglossales	Haptoglossaceae	Haptoglossa	humicola
