ID	scientificName	authorship	rank	genus	specificEpithet	infraspecificEpithet	publishedInID	publishedInPage	code	status	link
100052	Elsinoë phaseoli	Jenkins							ICN		
100053	Elsinoë theae	Bitanc. & Jenkins							ICN		
100054	Elsinoë veneta	(Burkh.) Jenkins							ICN		
100069	Dothidea pitya	(Fr.) Fr.							ICN		
100075	Melampsora kussanoi	Dietel							ICN		
100119	Lecidea coarctata var. elachista	(Ach.) Th. Fr.							ICN		
100124	Fusarium persicum	(Sacc.) G.F. Atk.							ICN		
100202	Peziza nummularis	(Berk.) Morgan							ICN		
100223	Mazzantia tiampeana	(Racib.) Theiss. & Syd.							ICN		
100273	Uslaria morchellaeformis	(Vittad.) Nieuwl.							ICN		
100341	Marssonina chamaenerii	(Rostr.) Magnus							ICN		
100391	Phyllosticta vogelis	(Syd. & P. Syd.) Died.							ICN		
100447	Eupythium anguillulae	(Sadeb.) Nieuwl.							ICN		
100477	Sterigmatobotrys elongata	(Peck) Pound & Clem.							ICN		
100543	Clasterosporium persicum	(Sacc.) Tsuji							ICN		
100561	Marssonina piriformis	(Riess) Magnus							ICN		
100616	Catacauma aloëticum	(Berk. & M.A. Curtis) Theiss. & Syd.							ICN		
100765	Phellinus lichnoides	(Mont.) Pat.							ICN		
100766	Pholiota scobifera	(Berk. & M.A. Curtis) Pat.							ICN		
100794	Mycosphaerella trichomanis	(Cooke) Lindau							ICN		
100819	Xylobolus frustulosus	(Pers.) P. Karst.							ICN		
100822	Nematoloma fasciculare	(Huds.) P. Karst.							ICN		
100823	Nematoloma capnoides	(Fr.) P. Karst.							ICN		
100862	Antrodia terrei	(Berk. & Broome) P. Karst.							ICN		
100884	Polyporellus rostkovii	(Fr.) P. Karst.							ICN		
100914	Nematoloma elaeodes	(Fr.) P. Karst.							ICN		
101004	Lethagrium conglomeratum	A. Massal.							ICN		
101248	Trichophyton sulphureum	Sabour. & Fox							ICN		
101271	Ascochyta miurai	Hara							ICN		
101302	Ascochyta coronaria	Ellis & Davis							ICN		
101373	Vasculomyces xanthosomae	S.F. Ashby							ICN		
101439	Taphrina hiratsukai	Nishida							ICN		
101593	Eutorula cereviseae	(Desm.) H. Will							ICN		
101749	Geastrum trichifer	Rick							ICN		
101768	Arthrobotryum penicilloides	(P. Karst. & Roum.) Höhn.							ICN		
101778	Ellobiopsis racemosus	Coutière							ICN		
101866	Naemospora atrovirens	Jacz.							ICN		
101961	Mycosphaerella acerna	(Wallr.) Johanson ex Oudem.							ICN		
101963	Tuberculina aecidiophyla	(Speg.) Pat.							ICN		
102024	Catacauma lindmannii	(Starbäck) Theiss. & Syd.							ICN		
102048	Naemospora ampelicida	Engelm.							ICN		
102074	Phomopsis semi-immersa	(Sacc.) Traverso							ICN		
102108	Dothidella hippophaës	(Pass.) Theiss. & Syd.							ICN		
102182	Russula heterophylla var. galocroa	(Fr.) Fr.							ICN		
102227	Lenzites betulina f. flaccida	(Bull.) Bres.							ICN		
102272	Sphaeria balsamianum	De Not.							ICN		
102275	Guepiniopsis fissus	(Berk.) Pat.							ICN		
102296	Guepiniopsis multilobus	(Miq.) Pat.							ICN		
102324	Androsaceus aciculaeformis	(Berk. & M.A. Curtis) Pat.							ICN		
102346	Ascochyta rheae	(Cooke) Grove							ICN		
102437	Dothichloë hypoxylon	(Peck) G.F. Atk.							ICN		
102466	Ascochyta alismatias	(Oudem.) Trail							ICN		
102558	Pseudonectria collorioides	(Rehm) Höhn.							ICN		
102613	Puiggarina citherexyli	(Rehm) Speg.							ICN		
102686	Endomyces burgesii	Castell.							ICN		
102695	Endomyces rotundus	Castell.							ICN		
102697	Endomyces zeylanica	Castell.							ICN		
102719	Corynespora tsurudai	Hara							ICN		
103051	Arthrinium hysterium	(Sacc.) P.M. Kirk							ICN		
103054	Arthroderma cajetani	(Ajello) Ajello, Weitzman, McGinnis & A.A. Padhye							ICN		
103156	Coccomyces cupressini	P.R. Johnst.							ICN		
103327	Exserohilum macginnisii	A.A. Padhye & Ajello							ICN		
103344	Fellhanera rhapidophylli	(Rehm) Vězda							ICN		
103470	Kompsoscypha zizyphi	(E.K. Cash) Pfister							ICN		
103484	Laboulbenia baerii	Knokha							ICN		
103514	Lecanora henssenii	Vänskä							ICN		
103602	Nematoloma scobicola	(Berk. & Broome) Guzmán ex Courtec.							ICN		
103603	Naïs glitra	J.L. Crane & Shearer							ICN		
103630	Ophiostoma sagmatospora	(E.F. Wright & Cain) H. Solheim							ICN		
103647	Peltula kofleri	Henssen & Büdel							ICN		
103689	Pholiota siennaecolor	(Petch) Pegler							ICN		
103725	Postia angulipora	(M.J. Larsen & Lombard) M.J. Larsen & Lombard							ICN		
103954	Acanthophysium lividocaeruleum	(P. Karst.) Boidin							ICN		
103986	Alternaria helianthinficiens	E.G. Simmons, Walcz & R.G. Roberts							ICN		
104012	Arthrobotrys alaskana	(Matsush.) Oorschot							ICN		
104013	Arthrobotrys azerbaijanica	(Mekht.) Oorschot							ICN		
104015	Arthrobotrys megaspora	(Boedijn) Oorschot							ICN		
104086	Candida naganishi	Nakase & M. Suzuki							ICN		
104234	Elsinoë erythrinae	Sivan. & L.D. Gómez							ICN		
104247	Entoloma phaeocyathus	Noordel.							ICN		
104306	Agaricus clavuliferus	Berk. & Broome							ICN		
104307	Hohenbuehelia mustialaensis	(P. Karst.) Thorn							ICN		
104316	Hydrocybe pratensis	(Fr.) Murrill							ICN		
104329	Hygrotrama phaeophylla	(Romagn.) Arnolds							ICN		
104425	Lachnum nilgherrensis	(Cooke) M.P. Sharma							ICN		
104461	Lichenostigma rugosa	G. Thor							ICN		
104589	Paecilomyces pascua	Pitt & A.D. Hocking							ICN		
104600	Parvobasidium lianaicola	(G. Cunn.) Stalpers							ICN		
104720	Rhytidhysterium indicum	(Anahosur) M.P. Sharma & K.S. Thind							ICN		
104721	Rhytidhysterium quercinum	(B.G. Desai & V.N. Pathak) M.P. Sharma & Rawla							ICN		
104727	Ripartites odora	G. Riousset & Bon							ICN		
104738	Sarcostroma dilophospora	(Cooke) M. Morelet							ICN		
104743	Sarcostroma kennedyae	(McAlpine) M. Morelet							ICN		
104856	Verticillium deflectans	(Bres.) de Hoog, Oorschot & W. Gams							ICN		
104953	Clitocybe kemptonii	H.E. Bigelow							ICN		
105005	Pterygiopsis malanophthalma	Henssen, Büdel & Wessels							ICN		
105060	Arthrobotrys ellipsospora	Tubaki & K. Yamanaka							ICN		
105102	Blastobotrys capitulata	de Hoog, Rant.-Leht. & M.T. Sm.							ICN		
105128	Ceriporiopsis carnegiae	(D.V. Baxter) Gilb. & Ryvarden							ICN		
105214	Cuphophyllus colemaniannus	(A. Bloxam) Bon							ICN		
105292	Dixomyces stomanaxi	(Thaxt.) I.I. Tav.							ICN		
105324	Frommeëlla duchesneae	(Arthur) Yohem, Cummins & Gilb.							ICN		
105338	Grammothelopsis incrusta	A. David & Rajchenb.							ICN		
105451	Leptographium dryocoetidis	(W.B. Kendr. & Molnar) M.J. Wingf.							ICN		
105551	Mycosphaerella pongamieae	(Racib.) Sivan.							ICN		
105570	Oligoporus anguliporus	(M.J. Larsen & Lombard) Gilb. & Ryvarden							ICN		
105586	Oligoporus placentus	(Fr.) Gilb. & Ryvarden							ICN		
105687	Phyllactinia ribesii	(Jacz.) Z.Y. Zhao							ICN		
105805	Stachybotrys verrucispora	Matsush.							ICN		
105931	Arthrobotryum hyalospora	G. Okada & Tubaki							ICN		
105999	Cercosporidium helicteretis	Soni, Dadwal & Jamaluddin							ICN		
106037	Corynespora viticus	Y.L. Guo							ICN		
106141	Flaviporus hunuus	(G. Cunn.) Ginns							ICN		
106149	Fomitiporia hippophaëicola	(H. Jahn) Fiasson & Niemelä							ICN		
